route_name,route_id,trip_id,start_point,start_time,end_point,end_time,length,runtime,direction
blue,00013,80421,TAO,07:27:39,HUA,08:01:15,21082,,0
blue,00013,90421,TAO,07:34:54,HUA,08:08:30,21082,,0
blue,00013,100421,TAO,07:42:09,HUA,08:15:45,21082,,0
blue,00013,10521,TAO,07:49:24,HUA,08:23:00,21082,,0
blue,00013,20521,TAO,07:56:39,HUA,08:30:15,21082,,0
blue,00013,30521,TAO,08:03:54,HUA,08:37:30,21082,,0
blue,00013,40521,TAO,08:11:09,HUA,08:44:45,21082,,0
blue,00013,50521,TAO,08:18:24,HUA,08:52:00,21082,,0
blue,00013,60721,TAO,08:25:39,HUA,08:59:15,21082,,0
blue,00013,70621,TAO,08:32:54,HUA,09:06:30,21082,,0
blue,00013,80621,TAO,08:40:09,HUA,09:13:45,21082,,0
blue,00013,90621,TAO,08:47:24,HUA,09:21:00,21082,,0
blue,00013,100621,TAO,08:54:39,HUA,09:28:15,21082,,0
blue,00013,10721,TAO,09:01:54,HUA,09:35:30,21082,,0
blue,00013,20721,TAO,09:09:09,HUA,09:42:45,21082,,0
blue,00013,30721,TAO,09:16:24,HUA,09:50:00,21082,,0
blue,00013,40721,TAO,09:23:39,HUA,09:57:15,21082,,0
blue,00013,50721,TAO,09:30:54,HUA,10:04:30,21082,,0
blue,00013,60921,TAO,09:38:09,HUA,10:11:45,21082,,0
blue,00013,70821,TAO,09:45:24,HUA,10:19:00,21082,,0
blue,00013,80821,TAO,09:52:39,HUA,10:26:15,21082,,0
blue,00013,90821,TAO,09:59:54,HUA,10:33:30,21082,,0
blue,00013,100821,TAO,10:07:09,HUA,10:40:45,21082,,0
blue,00013,10921,TAO,10:14:24,HUA,10:48:00,21082,,0
